Rank ,Song name ,Artist(s) ,Album ,"Streams
(millions) ",Date published ,Streams
1.,"""Shape of You""",Ed Sheeran,÷,"1,829","6 January, 2017 ",1829000
2.,"""One Dance""",Drake featuring Wizkid and Kyla,Views,"1,515","5 April, 2016 ",1515000
3.,"""Closer""",The Chainsmokers featuring Halsey,Collage,"1,324","29 July, 2016 ",1324000
4.,"""rockstar""",Post Malone featuring 21 Savage,beerbongs & bentleys,"1,141","15 September, 2017 ",1141000
5.,"""Lean On""",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission,"1,137","2 March, 2015 ",1137000
6.,"""Thinking Out Loud""",Ed Sheeran,×,"1,13","21 June, 2014 ",1130000
7.,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Non-album single,"1,104","17 April, 2017 ",1104000
8.,"""Sorry""",Justin Bieber,Purpose,"1,078","23 October, 2015 ",1078000
9.,"""Love Yourself""",Justin Bieber,Purpose,"1,075","9 November, 2015 ",1075000
10.,"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage,"1,045","5 February, 2016 ",1045000
11.,"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner,"At Night, Alone.","1,026","24 July, 2015 ",1026000
12.,"""Starboy""",The Weeknd featuring Daft Punk,Starboy,1,"22 September, 2016 ",1000000
13.,"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore,964,"5 August, 2016 ",964000000
14.,"""Havana""",Camila Cabello featuring Young Thug,Camila,943,"3 August, 2017 ",943000000
15.,"""What Do You Mean?""",Justin Bieber,Purpose,932,"28 August, 2015 ",932000000
16.,"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,Non-album single,928,"21 July, 2016 ",928000000
17.,"""Photograph""",Ed Sheeran,×,926,"21 June, 2014 ",926000000
18.,"""Cheap Thrills""",Sia,This Is Acting,904,"17 December, 2015 ",904000000
19.,"""God's Plan""",Drake,Scorpion,896,"19 January, 2018 ",896000000
20.,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,Uptown Special,883,"10 November, 2014 ",883000000
21.,"""Say You Won't Let Go""",James Arthur,Back from the Edge,882,"9 September, 2016 ",882000000
22.,"""New Rules""",Dua Lipa,Dua Lipa,880,"2 June, 2017 ",880000000
23.,"""Stressed Out""",Twenty One Pilots,Blurryface,878,"10 November, 2015 ",878000000
24.,"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open,865,"22 February, 2017 ",865000000
25.,"""Despacito""",Luis Fonsi featuring Daddy Yankee,Non-album single,864,"13 January, 2017 ",864000000
