Songs_Name,Popularity
Shape of You,89.0
One Dance,82.0
Closer,86.0
rockstar (feat. 21 Savage),93.0
Lean On,74.0
Thinking Out Loud,84.0
Despacito - Remix,82.0
Sorry,76.0
Love Yourself,78.0
Don't Let Me Down,82.0
I Took A Pill In Ibiza - Seeb Remix,75.0
Starboy,82.0
Let Me Love You,80.0
Havana,91.0
What Do You Mean?,74.0
Cold Water,72.0
Photograph,84.0
Cheap Thrills,74.0
God's Plan,89.0
Uptown Funk (feat. Bruno Mars),38.0
Say You Won't Let Go,83.0
New Rules,88.0
Stressed Out,83.0
Something Just Like This,83.0
Despacito,75.0
Cheerleader - Felix Jaehn Remix Radio Edit,70.0
7 Years,80.0
HUMBLE.,84.0
Faded,83.0
Stitches,71.0
Take Me to Church,75.0
This Is What You Came For,80.0
Unforgettable,86.0
Hello,73.0
Can't Feel My Face,77.0
Perfect,89.0
Work from Home,80.0
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",76.0
XO TOUR Llif3,88.0
Work,70.0
Treat You Better,79.0
Stay With Me,79.0
See You Again (feat. Charlie Puth),80.0
Let Her Go,73.0
All of Me,85.0
Congratulations,84.0
Light It Up - Remix,72.0
I'm the One,75.0
Thunder,86.0
Heathens,65.0
Rockabye (feat. Sean Paul & Anne-Marie),83.0
Radioactive,75.0
That's What I Like,85.0
Hotline Bling,76.0
It Ain’t Me (with Selena Gomez),73.0
Panda,73.0
I Don’t Wanna Live Forever (Fifty Shades Darker),76.0
Chandelier,73.0
Where Are Ü Now (with Justin Bieber),77.0
We Don't Talk Anymore (feat. Selena Gomez),72.0
"Me, Myself & I",78.0
Attention,84.0
The Hills,75.0
Sugar,75.0
Believer,86.0
Counting Stars,76.0
Lush Life,78.0
Cake By The Ocean,77.0
Ride,82.0
In the Name of Love,81.0
Mi Gente,78.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",71.0
Can't Hold Us - feat. Ray Dalton,83.0
Wake Me Up,83.0
"i hate u, i love u (feat. olivia o'brien)",81.0
Side To Side,80.0
Too Good,74.0
Me Rehúso,85.0
Demons,73.0
I Feel It Coming,78.0
Stay (with Alessia Cara),80.0
Fast Car,75.0
Rather Be (feat. Jess Glynne),60.0
PILLOWTALK,76.0
Starving,79.0
1-800-273-8255,83.0
Sugar (feat. Francesco Yates),78.0
Roses,75.0
Mask Off,83.0
Riptide,80.0
There's Nothing Holdin' Me Back,81.0
24K Magic,80.0
Paris,77.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),82.0
Trap Queen,75.0
Too Good At Goodbyes,80.0
Needed Me,73.0
Castle on the Hill,70.0
Fake Love,78.0
Firestone (feat. Conrad Sewell),78.0
Intro,68.0
KOD,85.0
Photograph,77.0
The Cut Off (feat. kiLL edward),74.0
ATM,80.0
Motiv8,79.0
Kevin’s Heart,81.0
BRACKETS,74.0
Once an Addict - Interlude,72.0
FRIENDS (feat. kiLL edward),73.0
Window Pain - Outro,74.0
1985 - Intro to “The Fall Off”,78.0
Two®,62.0
444+222,68.0
Sauce It Up,77.0
No Sleep Leak,62.0
The Way Life Goes (feat. Oh Wonder),81.0
For Real,62.0
Feelings Mutual,61.0
Neon Guts (feat. Pharrell Williams),66.0
Early 20 Rager,57.0
UnFazed (feat. The Weeknd),67.0
Pretty Mami,61.0
How To Talk,60.0
X,66.0
Malfunction,58.0
Dark Queen,74.0
XO TOUR Llif3,88.0
